id	Degree	Closeness	Betweenness	Kingdom	Phylum	Class	Order	Family	Genus
ASV_1	1441	0.000377216144851	1245.05774637992	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
ASV_10	371	0.000268744961031981	238.598770680741	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_100	1621	0.000404694455685957	2232.28526489183	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
ASV_1000	1074	0.000331345261762757	520.964791407634	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA
ASV_1001	1046	0.000328299409061064	524.430585641185	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_1002	693	0.000294204177699323	228.970445293254	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA
ASV_1003	1002	0.000323624595469256	504.566398006736	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA
ASV_1004	401	0.000270929287455974	123.811327737909	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA
ASV_1006	1171	0.000342348510783978	812.202138998014	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
ASV_1008	1060	0.000329815303430079	640.891350743338	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1
ASV_101	942	0.000317460317460317	830.180481101339	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
ASV_1010	467	0.000275785990071704	131.042785915881	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
ASV_1011	947	0.000317965023847377	274.672054261697	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_1012	1011	0.000324569944823109	507.833714430822	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA
ASV_1014	1075	0.000331455087835598	731.741468283531	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
ASV_1015	1081	0.000332115576220525	581.908560920417	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV_1017	880	0.000311235605353252	310.79903478125	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
