id	Degree	Closeness	Betweenness	Kingdom	Phylum	Class	Order	Family	Genus
ASV_1	1687	0.000415800415800416	161.594220921702	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
ASV_10	1675	0.000413736036408771	164.972333864909	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_100	1909	0.000458085203847916	213.433701329107	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
ASV_1000	1791	0.000434593654932638	178.021650145158	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA
ASV_1001	1716	0.000420875420875421	174.581414729482	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_1002	1806	0.000437445319335083	184.822196003364	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA
ASV_1003	1757	0.000428265524625268	177.832841962646	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA
ASV_1004	1521	0.000388953714507974	134.40063693481	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA
ASV_1006	1729	0.000423190859077444	176.388885921571	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
ASV_1008	1772	0.000431034482758621	181.333349510409	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1
ASV_101	1795	0.00043535045711798	194.636391562972	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
ASV_1010	1740	0.000425170068027211	178.203805546383	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
ASV_1011	1621	0.000404694455685957	141.138065784208	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_1012	1825	0.000441111601235112	195.062552081368	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA
ASV_1014	1653	0.000410004100041	166.729198350894	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
ASV_1015	1692	0.000416666666666667	172.349216105935	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV_1017	1790	0.000434404865334492	179.171778537923	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
ASV_1018	1684	0.000415282392026578	164.410493830938	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus
ASV_1019	1655	0.000410340582683627	163.44784785794	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella
ASV_102	1664	0.000411861614497529	170.463943757896	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium
ASV_1020	1641	0.000407996736026112	150.640629882328	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
ASV_1021	1820	0.000440140845070423	190.623403272271	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_1022	1629	0.000406008932196508	145.970928561835	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
