id	Degree	Closeness	Betweenness	Kingdom	Phylum	Class	Order	Family	Genus
ASV_1	1583	0.000398565165404544	350.985555465735	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
ASV_10	952	0.000318471337579618	130.461173928887	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_100	1836	0.000443262411347518	468.836903650589	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
ASV_1000	1640	0.000407830342577488	310.658128466811	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA
ASV_1001	1487	0.000383877159309021	299.384776626172	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_1002	1310	0.000359453630481668	218.516744667121	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA
ASV_1003	1423	0.000374672161858374	269.820990745921	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA
ASV_1004	1135	0.000338180588434224	178.527776342026	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA
ASV_1006	1531	0.000390472471690746	287.73055042493	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
ASV_1008	1501	0.000385951370127364	295.595891664045	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1
ASV_101	1509	0.000387146728610143	308.135356459883	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
ASV_1010	926	0.000315855969677827	108.87375874809	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
ASV_1011	1580	0.000398089171974522	308.647915441582	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_1012	1545	0.000392618767177071	297.498810055244	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA
ASV_1014	1477	0.000382409177820268	287.478853411028	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
ASV_1015	1439	0.000376931775348662	264.983841122482	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV_1017	1734	0.000424088210347752	403.109491334304	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
ASV_1018	1460	0.000379939209726444	261.540333081061	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus
ASV_1019	1322	0.00036101083032491	235.412808724148	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella
ASV_102	1624	0.000405186385737439	354.407719027705	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium
ASV_1020	1347	0.000364298724954463	209.914102564601	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
ASV_1021	1593	0.00040016006402561	306.198449636894	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_1022	1439	0.000376931775348662	238.233294440046	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
ASV_1023	1226	0.000348918353105373	198.612314182547	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
ASV_1024	1552	0.000393700787401575	296.115994747215	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aliihoeflea
ASV_1025	1100	0.000334224598930481	121.800308133385	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
