Compare	Distance_Mean	Distance_SD	Distance_PM_Mean	Distance_PM_SD	N	p
rhizoplane_rhizoplane	26.0927489066158	9.71787392131604	27.7745354846338	9.11416491819491	4601025	0.566002235153637
rhizoplane_rhizosphere	83.6636786980034	10.1525876537124	26.1252099953553	7.82238427078272	1185921	8.43225777074715e-07
rhizoplane_root	69.3191628005378	12.7798055601465	30.969467911146	8.94411837034825	1185921	0.00603665333807788
rhizoplane_soil	50.8120107209773	8.31919231232951	25.6544554069101	8.44564064750813	1185921	0.0231549798384717
rhizosphere_rhizosphere	25.897267827018	8.20638668515614	25.5882556289308	7.56445928294052	4601025	0.495884396219452
rhizosphere_root	46.820488259486	7.7526325072144	28.9986484792821	8.13723547310845	1185921	0.0586278018284508
rhizosphere_soil	45.1022001510828	8.39449840051641	25.7448597082654	7.53445060040225	1185921	0.0392842025023568
root_root	28.5247496066772	7.50648668745581	29.6236929808179	8.23931589896681	4601025	0.531091978180519
root_soil	46.6842581778454	10.0597533258228	33.7909806432388	10.8901713076684	1185921	0.182695826538339
soil_soil	23.4825764671524	6.84417292075809	24.491674193157	7.45658551613205	4601025	0.535538377744442
