Compare	Distance_Mean	Distance_SD	Distance_PM_Mean	Distance_PM_SD	N	p
rhizoplane_rhizoplane	6.7051363350496	2.28545229586919	6.53940730799726	2.14690300364645	4601025	0.482228746370918
rhizoplane_rhizosphere	41.1530997641459	6.78014006615338	8.60209821053437	2.95198298618277	1185921	8.43225777074715e-07
rhizoplane_root	34.2709770561885	5.06104415688331	9.39030101377014	3.52623916133975	1185921	0.000106246447911414
rhizoplane_soil	45.1954141866451	4.96083609829765	8.9019044468645	3.23239468229545	1185921	8.43225777074715e-07
rhizosphere_rhizosphere	9.47908155058735	3.75995617182295	9.42973919969259	3.37223251287585	4601025	0.511019281351594
rhizosphere_root	19.3048013471552	5.33860603088229	11.6442903782507	4.85245216303724	1185921	0.139561455137859
rhizosphere_soil	13.9523239983591	5.14945424189058	9.06796983276023	3.67852288255142	1185921	0.202572344555544
root_root	10.9096851703611	4.26342229308834	11.4083418864112	4.41133759398013	4601025	0.533397333551256
root_soil	26.8631688200964	6.8251818496802	10.478322893046	4.03540570098111	1185921	0.0213943244159397
soil_soil	8.27311914285887	3.37781993778993	8.50501299022515	3.09108725366682	4601025	0.537336237613089
