Group	Accu_BS	Accu_PM	Accu_Diff	Avg_BS	Avg_PM	Diff	P_value	FDR
Acidobacteriaceae_(Subgroup_1)	1082.55856507155	982.94769068627	99.6108743852819	0.994085000065704	0.90261495930787	0.0914700407578347	1.60911432696251e-94	2.24527580506397e-94
Herpetosiphonaceae	583.047411691111	488.510857788333	94.5365539027779	0.535397072259974	0.448586646270279	0.086810425989695	0.00206629462986806	0.00219429518216077
Myxococcaceae	1083.37378268369	990.113875692092	93.2599069915997	0.994833592914318	0.909195478137826	0.0856381147764921	1.49702906293138e-140	2.16437936809356e-140
NS9_marine_group	1031.66889646224	940.956125798537	90.7127706637009	0.947354358551183	0.864055211936214	0.0832991466149687	7.08521349527164e-37	9.14221096164083e-37
Solimonadaceae	1023.90788901356	939.836845519566	84.0710434939941	0.940227629948172	0.863027406354055	0.0772002235941177	9.77662951009152e-09	1.10678824642546e-08
Acidothermaceae	637.877703512781	555.654848553939	82.2228549588424	0.58574628421743	0.510243203447143	0.0755030807702869	0.000492689833375634	0.000527881964331036
Nocardiaceae	1057.68344546445	976.327896083786	81.3555493806671	0.971242833300691	0.896536176385479	0.0747066569152129	9.80943110845471e-43	1.27949101414627e-42
Oligoflexales_fa	1075.34738026502	995.454584763349	79.8927955016718	0.987463159104702	0.914099710526491	0.073363448578211	1.77311468373041e-100	2.50322072997234e-100
Thermoanaerobaculaceae	973.824659423797	901.588738695503	72.2359207282939	0.894237520132045	0.827905177865476	0.0663323422665693	1.84169935670282e-06	2.00912657094853e-06
Iamiaceae	1010.74863040431	945.125145112163	65.6234852921478	0.92814382957237	0.86788351249969	0.0602603170726793	1.59760948869664e-57	2.13014598492885e-57
Glycomycetaceae	825	774.205136816622	50.794863183378	0.757575757575758	0.710932173385328	0.0466435841904297	1.42343138232987e-17	1.72537137252105e-17
Catenulisporaceae	873	822.921047978018	50.078952021982	0.801652892561983	0.755666710723616	0.0459861818383672	1.09570520839824e-18	1.34167984701825e-18
A4b	849.797920308161	808.192978786231	41.6049415219302	0.780347034259101	0.742142312935014	0.0382047213240865	0.000136958437756369	0.000148063175952831
